Product ID,Website SKU,Grace SKU,QB Match Status,Category,Family,Shape,Color,Capacity,Capacity (oz),Capacity (ml),Applicator,Cap Color,Cap Style,Neck Thread Size,Neck Thread (Web),Height with Cap,Height without Cap,Diameter,Bottle Weight (g),Case Weight (g),Case Quantity,QB Price,Web Price (1pc),Web Price (10pc),Web Price (12pc),Stock Status,Item Name,Item Description,Item Type (Web),Product Type (ML),Use Case Description,Product URL,Data Grade,Usage,Product Type,Bottle Collection,Component Group,Use Case URL
BB-CM-000-0001,18-400CpAppBlk,CMP-APP-BLK-18-400,Matched to QB,Component,Cap,Applicator Cap,Black,0 ml (0 oz),0,0,Cap/Closure,Black,Applicator,18-400,18-400,45 ±0.5 mm,N/A,21 ±0.5 mm,N/A,N/A,500,0.42,0.42,0.33,0.4,In Stock,Cap 18-400 Black Applicator,"Black cap with glass rod applicator, Threadsize 18-400....","Caps, Rollon Plugs and Spray Tops",Inventory Part,,https://www.bestbottles.com/product/Caps-lid-with-applicator-top-black-Color-8-425,C — no color; no thread,Perfume & Fragrance,Screw Cap,N/A,Applicator Caps,https://www.bestbottles.com/product/Caps-lid-with-applicator-top-black-Color-8-425
BB-CM-000-0002,18-400CpShortBlk,CMP-CAP-BLK-18-400,Matched to QB,Component,Cap,Short Cap,Black,0 ml (0 oz),0,0,Cap/Closure,Black,Short,18-400,18-400,11 ±0.5 mm,N/A,21 ±0.5 mm,N/A,N/A,500,0.32,0.32,0.25,0.3,In Stock,Cap 18-400 Black Short,"Black lid or closure for glass bottle, Thread size 18-400....","Caps, Rollon Plugs and Spray Tops",Inventory Part,,https://www.bestbottles.com/product/Caps-lid-short-top-black-Color-18-400,C — no color; no thread,Perfume & Fragrance,Screw Cap,N/A,Screw Caps & Closures,https://www.bestbottles.com/product/Caps-lid-short-top-black-Color-18-400
BB-CM-000-0003,20-400Cp2ozShortBlk,CMP-CAP-BLK-20-400,Matched to QB,Component,Cap,Short Cap,Black,0 ml (0 oz),0,0,Cap/Closure,Black,Short,20-400,20-400,12 ±0.5 mm,N/A,23 ±0.5 mm,N/A,N/A,500,0.2,0.2,0.16,0.19,In Stock,Cap 20-400 Black Short,"Black lid or closure for glass bottle, Thread size 20-400....","Caps, Rollon Plugs and Spray Tops",Inventory Part,,https://www.bestbottles.com/product/Caps-lids-top-bottle-black-Color-2oz-20-400,C — no color; no thread,Perfume & Fragrance,Screw Cap,N/A,Screw Caps & Closures,https://www.bestbottles.com/product/Caps-lids-top-bottle-black-Color-2oz-20-400
BB-CM-000-0004,20-400cp1ozShortBlk,CMP-CAP-BLK-20-400,Matched to QB,Component,Cap,Short Cap,Black,0 ml (0 oz),0,0,Cap/Closure,Black,Short,20-400,20-400,12 ±0.5 mm,N/A,23 ±0.5 mm,N/A,N/A,500,0.2,0.2,0.16,0.19,In Stock,Cap 20-400 Black Short,"Black lid or closure for glass bottle, Thread size 20-400....","Caps, Rollon Plugs and Spray Tops",Inventory Part,,https://www.bestbottles.com/product/Caps-lids-top-bottle-black-Color-1oz-20-400,C — no color; no thread,Perfume & Fragrance,Screw Cap,N/A,Screw Caps & Closures,https://www.bestbottles.com/product/Caps-lids-top-bottle-black-Color-1oz-20-400
BB-OT-000-0001,8-425CpShortBlack,CMP-CAP-BLK-8-425,Matched to QB,Other,Cap,Short Cap,Black,0 ml (0 oz),0,0,Cap/Closure,Black,Short,8-425,8-425,9 ± 0.1 mm,93.8,12 ±0.5 mm,71.5,10871.43,357,0.15,0.15,0.12,0.14,In Stock,Cap 8-425 Short,"Ridged Black lid or closure for glass bottle, Thread size 8-425....","Caps, Rollon Plugs and Spray Tops",Non-inventory Part,,https://www.bestbottles.com/product/Caps-short-lid-top-black-Color-8-425,C — no color,Perfume & Fragrance,Screw Cap,N/A,Screw Caps & Closures,https://www.bestbottles.com/product/Caps-short-lid-top-black-Color-8-425
BB-OT-000-0002,8-425CpShortWhite,CMP-CAP-WHT-8-425,Matched to QB,Other,Cap,Short Cap,White,0 ml (0 oz),0,0,Cap/Closure,White,Short,8-425,8-425,9 ± 0.1 mm,93.8,12 ±0.5 mm,71.5,10871.43,357,0.15,0.15,0.12,0.14,In Stock,Cap 8-425 Short,"White lid or closure for glass bottle, Thread size 8-425","Caps, Rollon Plugs and Spray Tops",Non-inventory Part,,https://www.bestbottles.com/product/Caps-short-lid-top-White-Color-8-425,C — no color,Perfume & Fragrance,Screw Cap,N/A,Screw Caps & Closures,https://www.bestbottles.com/product/Caps-short-lid-top-White-Color-8-425
BB-AL-100-0001,Alu100mlSprayBlack,AB-ALU-CLR-100ML-SPR-BLK,Website Only - No QB Match,Aluminum Bottle,Aluminum Bottle,Standard,Clear,100 ml (3.38 oz),3.38,100,Sprayer,Black,Spray,N/A,20-410,150 ±2 mm,127.8,50 ±0.5 mm,70,22000,300,1.25,1.25,0.99,1.19,In Stock,Aluminum Bottle 100 ml (3.38 oz) Clear Aluminum Bottle with Sprayer Black Cap,"Cylinder shaped, matte aluminum 100 ml bottle with black sprayer. For use with cologne, perfume, air freshener, face and body spray, or room spray.",Aluminum Bottle with Fine Mist Sprayer,Aluminum Bottle,,https://www.bestbottles.com/product/Cylinder-shaped-matte-aluminum-100ml-bottle-black-sprayer,B — no thread,Travel & Portable,Aluminum Bottle,Travel & Aluminum Collection,N/A,https://www.bestbottles.com/product/Cylinder-shaped-matte-aluminum-100ml-bottle-black-sprayer
BB-AL-120-0001,Alu120mlLotionPumpBlack,AB-ALU-CLR-120ML-LPM-BLK,Website Only - No QB Match,Aluminum Bottle,Aluminum Bottle,Standard,Clear,120 ml (4.06 oz),4.06,120,Lotion Pump,Black,Pump,N/A,20-410,147 ±2 mm,114 ±2 mm,45 ±0.5 mm,70,22000,300,1.3,1.3,1.03,1.24,Out of Stock,Aluminum Bottle 120 ml (4.06 oz) Clear Aluminum Bottle with Lotion Pump Black Cap,"Cylinder shaped, brushed aluminum 120 ml bottle with lotion black pump. For use with lotion or treatment pump.",Aluminum Lotion Pump Bottle,Aluminum Bottle,,https://www.bestbottles.com/product/Cylinder-shaped-brushed-aluminum-120ml-bottle-black-lotion-pump,B — no thread,Travel & Portable,Aluminum Bottle,Travel & Aluminum Collection,N/A,https://www.bestbottles.com/product/Cylinder-shaped-brushed-aluminum-120ml-bottle-black-lotion-pump
BB-AL-120-0002,Alu120mlLotionPumpWhite,AB-ALU-CLR-120ML-LPM-WHT,Website Only - No QB Match,Aluminum Bottle,Aluminum Bottle,Standard,Clear,120 ml (4.06 oz),4.06,120,Lotion Pump,White,Pump,N/A,20-410,147 ±2 mm,114 ±2 mm,45 ±0.5 mm,70,22000,300,1.3,1.3,1.03,1.24,In Stock,Aluminum Bottle 120 ml (4.06 oz) Clear Aluminum Bottle with Lotion Pump White Cap,"Cylinder shaped, brushed aluminum 120 ml bottle with white lotion pump. For use with lotion or treatment pump.",Aluminum Lotion Pump Bottle,Aluminum Bottle,,https://www.bestbottles.com/all-bottles/lotion-pump-cream-jars/lotion-pumps-bottles.php,B — no thread,Travel & Portable,Aluminum Bottle,Travel & Aluminum Collection,N/A,https://www.bestbottles.com/all-bottles/lotion-pump-cream-jars/lotion-pumps-bottles.php
BB-AL-250-0001,Alu250mlSprayBlack,AB-ALU-CLR-250ML-SPR-BLK,Website Only - No QB Match,Aluminum Bottle,Aluminum Bottle,Standard,Clear,250 ml (8.45 oz),8.45,250,Sprayer,Black,Spray,N/A,20-410,180 ±2 mm,127.8,60 ±0.5 mm,70,22000,300,1.95,1.95,1.54,1.85,In Stock,Aluminum Bottle 250 ml (8.45 oz) Clear Aluminum Bottle with Sprayer Black Cap,"Cylinder shaped, matte aluminum 250 ml bottle with black sprayer. For use with cologne, perfume, air freshener, face and body spray, or room spray.",Aluminum Bottle with Fine Mist Sprayer,Aluminum Bottle,,https://www.bestbottles.com/product/Cylinder-shaped-matte-aluminum-250ml-bottle-black-sprayer,B — no thread,Travel & Portable,Aluminum Bottle,Travel & Aluminum Collection,N/A,https://www.bestbottles.com/product/Cylinder-shaped-matte-aluminum-250ml-bottle-black-sprayer
