reviewGroupKey,descriptorSignature,slotProposals,neckFinishEvidence,applicatorEvidence,capStyleEvidence,sourceIdentities,appearanceEvidence,sourceReferenceUrls,sourceIdentityCount,sourceReferenceObservedCount,localVariantCount,localGeometryFamilyIds,localAuthorityMaskSha256,status,priority,geometryClaim,nextGate,issues
geometry-review__pump__17-415__d4ca90a05c,pump :: 17-415 :: none :: Pump,pump,17-415,,Pump,Ltn17-415Blk | Ltn17-415Gl | Ltn17-415MattSl,Black | Matte Silver | Shiny Gold,https://www.bestbottles.com/images/store/enlarged_pics/Ltn17-415Blk.gif | https://www.bestbottles.com/images/store/enlarged_pics/Ltn17-415Gl.gif | https://www.bestbottles.com/images/store/enlarged_pics/Ltn17-415MattSl.gif,3,3,3,pump__17-415__BLK__v1 | pump__17-415__GLD__v1 | pump__17-415__MSLV__v1,3977798c8268fbbadb8f5b3034ca4c3e726c1f606f69fd0e1156baa526104402 | 52c046c8c292506f81819c951b81b9038625a1a6c9420f0b14b1d8c2fb09e687 | 67c467bb0cb91f6f50e16742c02aaf1a621562c7fe534635a5d0be4155341553,local-authorities-require-reconciliation,P0-TRUTH,unverified-descriptor-cluster,Compare local source silhouettes and physical dimensions. Do not merge the appearances until one exact authority is proven.,local-appearance-authorities-do-not-yet-prove-one-shared-mask
geometry-review__sprayer__17-415__91195a1a8e,sprayer :: 17-415 :: Fine Mist Sprayer :: Spray,sprayer,17-415,Fine Mist Sprayer,Spray,Spry17-415Blk | Spry17-415Gl | Spry17-415MattSl | Spry17-415Red | Spry17-415ShnSl | Spry17-415Tur,Black | Matte Silver | Red | Shiny | Shiny Gold | Shiny Silver,https://www.bestbottles.com/images/store/enlarged_pics/Spry17-415Blk.gif | https://www.bestbottles.com/images/store/enlarged_pics/Spry17-415Gl.gif | https://www.bestbottles.com/images/store/enlarged_pics/Spry17-415MattSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/Spry17-415Red.gif | https://www.bestbottles.com/images/store/enlarged_pics/Spry17-415ShnSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/Spry17-415Tur.gif,6,6,6,sprayer__17-415__BLK__v1 | sprayer__17-415__GLD__v1 | sprayer__17-415__MSLV__v1 | sprayer__17-415__RED__v1 | sprayer__17-415__SSLV__v1 | sprayer__17-415__TUR__v1,3977798c8268fbbadb8f5b3034ca4c3e726c1f606f69fd0e1156baa526104402 | 52c046c8c292506f81819c951b81b9038625a1a6c9420f0b14b1d8c2fb09e687 | 624e60c8f927ba1da00db3ff254b7cbcd2eb7e7ffe40daa3ab5ed41fcd9a884e | 67c467bb0cb91f6f50e16742c02aaf1a621562c7fe534635a5d0be4155341553 | 8389128411835efd64cf70b2d303bc33fc65ddfde9fb189455a21ba739f4e9ba | d41143f9dcaaaa2784a99631e1eec0f74aac939433a6a2d1be698fdca37c4819,local-authorities-require-reconciliation,P0-TRUTH,unverified-descriptor-cluster,Compare local source silhouettes and physical dimensions. Do not merge the appearances until one exact authority is proven.,local-appearance-authorities-do-not-yet-prove-one-shared-mask
geometry-review__cap__13-415__0148fbf57d,cap :: 13-415 :: N/A :: none,cap,13-415,N/A,,CMP-CAP-SBLK-13-415,,,1,0,0,,,source-incomplete,P0-TRUTH,unverified-descriptor-cluster,Obtain missing component imagery and physical dimensions before authority creation or geometry grouping.,one-or-more-source-identities-lack-component-image-reference
geometry-review__cap__13-425__1421409b51,cap :: 13-425 :: Cap/Closure :: none,cap,13-425,Cap/Closure,,CP13-425Blk | CP13-425Wht,Black | White,,2,0,0,,,source-incomplete,P0-TRUTH,unverified-descriptor-cluster,Obtain missing component imagery and physical dimensions before authority creation or geometry grouping.,one-or-more-source-identities-lack-component-image-reference
geometry-review__cap__17-415__8d6f474583,cap :: 17-415 :: N/A :: none,cap,17-415,N/A,,CMP-CAP-BDOT-17-415,,,1,0,0,,,source-incomplete,P0-TRUTH,unverified-descriptor-cluster,Obtain missing component imagery and physical dimensions before authority creation or geometry grouping.,one-or-more-source-identities-lack-component-image-reference
geometry-review__cap__22-400__177c8e14c9,cap :: 22-400 :: Cap/Closure :: none,cap,22-400,Cap/Closure,,CapBlackPoly22mm-400,Black,,1,0,0,,,source-incomplete,P0-TRUTH,unverified-descriptor-cluster,Obtain missing component imagery and physical dimensions before authority creation or geometry grouping.,one-or-more-source-identities-lack-component-image-reference
geometry-review__cap__24-400__2afd96ad37,cap :: 24-400 :: N/A :: none,cap,24-400,N/A,,CP24-400BlkPls,Black,,1,0,0,,,source-incomplete,P0-TRUTH,unverified-descriptor-cluster,Obtain missing component imagery and physical dimensions before authority creation or geometry grouping.,one-or-more-source-identities-lack-component-image-reference
geometry-review__cap__press-fit__8ac18b4355,cap :: PRESS-FIT :: Cap/Closure :: none,cap,PRESS-FIT,Cap/Closure,,CJ30BlkCap | CJ30SlCap | CJ40BlkCap | CJ40SlCap | CJ5BlkCap | CJ5SlCap,Black | Silver,,6,0,0,,,source-incomplete,P0-TRUTH,unverified-descriptor-cluster,Obtain missing component imagery and physical dimensions before authority creation or geometry grouping.,one-or-more-source-identities-lack-component-image-reference
geometry-review__cap__special__8fa1ac4110,cap :: SPECIAL :: Cap/Closure :: none,cap,SPECIAL,Cap/Closure,,CPKeyChnGld | CPTslRed,Gold | Red,,2,0,0,,,source-incomplete,P0-TRUTH,unverified-descriptor-cluster,Obtain missing component imagery and physical dimensions before authority creation or geometry grouping.,one-or-more-source-identities-lack-component-image-reference
geometry-review__cap__unknown-neck__0f7252dd93,cap :: unknown-neck :: Plastic Roller Ball :: Roll-On,cap,,Plastic Roller Ball,Roll-On,CPWhite1Oz,White,,1,0,0,,,source-incomplete,P0-TRUTH,unverified-descriptor-cluster,Obtain missing component imagery and physical dimensions before authority creation or geometry grouping.,one-or-more-source-identities-lack-component-image-reference
