reviewGroupKey,descriptorSignature,sourceIdentityCount,sourceReferenceCount,evidenceStatus,comparisonBasis,medoidSourceIdentity,medoidAverageIou,worstPairLeft,worstPairRight,worstPairIou,boundsAspectSpreadPercent,diagnosticLowestIouRank,diagnosticLargestAspectSpreadRank,geometryClaim,contactSheetPath,silhouetteAnalysisPath,silhouetteContactSheetPath,nextGate
geometry-review__bulb-sprayer__18-415__274c4512c4,bulb-sprayer :: 18-415 :: Cap/Closure :: none,1,1,review-evidence-ready,single-identity-reference,CP18-415AnSpPnk,1,,,,0,,,none,outputs/paper-doll-component-authority-reviews/geometry-review__bulb-sprayer__18-415__274c4512c4/contact-sheet.png,outputs/paper-doll-component-authority-reviews/geometry-review__bulb-sprayer__18-415__274c4512c4/silhouette-analysis.json,outputs/paper-doll-component-authority-reviews/geometry-review__bulb-sprayer__18-415__274c4512c4/silhouette-analysis-contact-sheet.png,"Obtain physical dimensions or select a reviewed silhouette authority, then validate the resulting exact-alpha mask before any geometry-lock claim."
geometry-review__bulb-sprayer__18-415__e2b095d953,bulb-sprayer :: 18-415 :: Fine Mist Sprayer :: Spray,1,1,review-evidence-ready,single-identity-reference,CP18-415AnSpTslGl,1,,,,0,,,none,outputs/paper-doll-component-authority-reviews/geometry-review__bulb-sprayer__18-415__e2b095d953/contact-sheet.png,outputs/paper-doll-component-authority-reviews/geometry-review__bulb-sprayer__18-415__e2b095d953/silhouette-analysis.json,outputs/paper-doll-component-authority-reviews/geometry-review__bulb-sprayer__18-415__e2b095d953/silhouette-analysis-contact-sheet.png,"Obtain physical dimensions or select a reviewed silhouette authority, then validate the resulting exact-alpha mask before any geometry-lock claim."
geometry-review__bulb-sprayer__18-415__6314ffe5b1,bulb-sprayer :: 18-415 :: none :: Spray,2,2,review-evidence-ready,multi-identity-diagnostic,AnSp18-415Blk,0.9702191023186556,AnSp18-415Blk,AnSp18-415Gl,0.9404382046373112,0,6,17,none,outputs/paper-doll-component-authority-reviews/geometry-review__bulb-sprayer__18-415__6314ffe5b1/contact-sheet.png,outputs/paper-doll-component-authority-reviews/geometry-review__bulb-sprayer__18-415__6314ffe5b1/silhouette-analysis.json,outputs/paper-doll-component-authority-reviews/geometry-review__bulb-sprayer__18-415__6314ffe5b1/silhouette-analysis-contact-sheet.png,Review the source contact sheet and physical dimensions. Split only when visual or measured evidence proves distinct geometry; otherwise select one geometry authority and validate exact alpha.
geometry-review__bulb-sprayer__unknown-neck__855d48f60c,bulb-sprayer :: unknown-neck :: N/A :: none,1,1,review-evidence-ready,single-identity-reference,AntqSprBulbLavender,1,,,,0,,,none,outputs/paper-doll-component-authority-reviews/geometry-review__bulb-sprayer__unknown-neck__855d48f60c/contact-sheet.png,outputs/paper-doll-component-authority-reviews/geometry-review__bulb-sprayer__unknown-neck__855d48f60c/silhouette-analysis.json,outputs/paper-doll-component-authority-reviews/geometry-review__bulb-sprayer__unknown-neck__855d48f60c/silhouette-analysis-contact-sheet.png,"Obtain physical dimensions or select a reviewed silhouette authority, then validate the resulting exact-alpha mask before any geometry-lock claim."
geometry-review__bulb-sprayer-sprayer__18-415__ebc56aeb09,bulb-sprayer+sprayer :: 18-415 :: none :: Spray,14,28,review-evidence-ready,multi-identity-diagnostic,AnSp18-415IvySl,0.5031778452702983,AnSp18-415Lvn,AnSpTsl18-415Wht,0.1073962822689478,52.254205470337176,1,1,none,outputs/paper-doll-component-authority-reviews/geometry-review__bulb-sprayer-sprayer__18-415__ebc56aeb09/contact-sheet.png,outputs/paper-doll-component-authority-reviews/geometry-review__bulb-sprayer-sprayer__18-415__ebc56aeb09/silhouette-analysis.json,outputs/paper-doll-component-authority-reviews/geometry-review__bulb-sprayer-sprayer__18-415__ebc56aeb09/silhouette-analysis-contact-sheet.png,Review the source contact sheet and physical dimensions. Split only when visual or measured evidence proves distinct geometry; otherwise select one geometry authority and validate exact alpha.
geometry-review__cap__13-415__bd7f336278,cap :: 13-415 :: Cap/Closure :: none,2,2,review-evidence-ready,multi-identity-diagnostic,CP13-415Gl,0.9989356247183678,CP13-415Gl,CP13-415Sl,0.9978712494367357,0,18,18,none,outputs/paper-doll-component-authority-reviews/geometry-review__cap__13-415__bd7f336278/contact-sheet.png,outputs/paper-doll-component-authority-reviews/geometry-review__cap__13-415__bd7f336278/silhouette-analysis.json,outputs/paper-doll-component-authority-reviews/geometry-review__cap__13-415__bd7f336278/silhouette-analysis-contact-sheet.png,Review the source contact sheet and physical dimensions. Split only when visual or measured evidence proves distinct geometry; otherwise select one geometry authority and validate exact alpha.
geometry-review__cap__13-415__5b5524f566,cap :: 13-415 :: Cap/Closure :: Short,2,2,review-evidence-ready,multi-identity-diagnostic,CP13-415BlkSht,0.8986850870792755,CP13-415BlkSht,CP13-415WhtSht,0.7973701741585509,2.500000000000005,3,10,none,outputs/paper-doll-component-authority-reviews/geometry-review__cap__13-415__5b5524f566/contact-sheet.png,outputs/paper-doll-component-authority-reviews/geometry-review__cap__13-415__5b5524f566/silhouette-analysis.json,outputs/paper-doll-component-authority-reviews/geometry-review__cap__13-415__5b5524f566/silhouette-analysis-contact-sheet.png,Review the source contact sheet and physical dimensions. Split only when visual or measured evidence proves distinct geometry; otherwise select one geometry authority and validate exact alpha.
geometry-review__cap__13-415__e45a8a2c38,cap :: 13-415 :: Plastic Roller Ball :: Roll-On,9,9,review-evidence-ready,multi-identity-diagnostic,CPRoll13-415BlkSh,0.9864222953050468,CPRoll13-415GlSh,CPRoll13-415SlMt,0.9714290136354491,8.290610173309492,12,6,none,outputs/paper-doll-component-authority-reviews/geometry-review__cap__13-415__e45a8a2c38/contact-sheet.png,outputs/paper-doll-component-authority-reviews/geometry-review__cap__13-415__e45a8a2c38/silhouette-analysis.json,outputs/paper-doll-component-authority-reviews/geometry-review__cap__13-415__e45a8a2c38/silhouette-analysis-contact-sheet.png,Review the source contact sheet and physical dimensions. Split only when visual or measured evidence proves distinct geometry; otherwise select one geometry authority and validate exact alpha.
geometry-review__cap__15-415__6962075287,cap :: 15-415 :: Cap/Closure :: none,2,2,review-evidence-ready,multi-identity-diagnostic,CP15-415ShnGl,0.9942513431807145,CP15-415ShnGl,CP15-415ShnSl,0.9885026863614291,2.2900763358778544,16,11,none,outputs/paper-doll-component-authority-reviews/geometry-review__cap__15-415__6962075287/contact-sheet.png,outputs/paper-doll-component-authority-reviews/geometry-review__cap__15-415__6962075287/silhouette-analysis.json,outputs/paper-doll-component-authority-reviews/geometry-review__cap__15-415__6962075287/silhouette-analysis-contact-sheet.png,Review the source contact sheet and physical dimensions. Split only when visual or measured evidence proves distinct geometry; otherwise select one geometry authority and validate exact alpha.
geometry-review__cap__18-400__075c71e858,cap :: 18-400 :: Cap/Closure :: Short,1,1,review-evidence-ready,single-identity-reference,18-400CpShortBlk,1,,,,0,,,none,outputs/paper-doll-component-authority-reviews/geometry-review__cap__18-400__075c71e858/contact-sheet.png,outputs/paper-doll-component-authority-reviews/geometry-review__cap__18-400__075c71e858/silhouette-analysis.json,outputs/paper-doll-component-authority-reviews/geometry-review__cap__18-400__075c71e858/silhouette-analysis-contact-sheet.png,"Obtain physical dimensions or select a reviewed silhouette authority, then validate the resulting exact-alpha mask before any geometry-lock claim."
