lineNumber,shotId,recordType,plateType,family,capacityMl,neckFinish,geometryOrAuthorityKey,appearance,materialEvidence,sourceIdentity,sourceReferenceUrls,catalogSkuCount,cohortKeys,status,priority,authorityStatus,compatibilityStatus,nextGate,existingAssetPaths,existingAssetSha256,notes
1,shot__body__cylinder__9ml__70x20x20.0__7795014140__amber,body-appearance,body,Cylinder,9,17-415,body__cylinder__9ml__70x20x20.0__7795014140,Amber,Glass,,https://www.bestbottles.com/images/store/enlarged_pics/GBCylAmb9MtlRollBlkDot.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylAmb9MtlRollMattCu.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylAmb9MtlRollMattGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylAmb9MtlRollMattSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylAmb9MtlRollPnkDot.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylAmb9MtlRollShBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylAmb9MtlRollShnGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylAmb9MtlRollShnSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylAmb9MtlRollSlDot.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylAmb9MtlRollWht.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylAmb9RollBlkDot.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylAmb9SpryBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylAmb9SpryGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylAmb9SpryMattSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylAmb9SpryRd.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylAmb9SpryShSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylAmb9SpryTur.gif | https://www.bestbottles.com/images/store/enlarged_pics/LBCylAmb9LtnBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/LBCylAmb9LtnGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/LBCylAmb9LtnMtSl.gif,20,CYL-9ML-17-415,locked-existing,P0-VERIFY,locked-local-body-authority,measured-body-geometry-only,Preserve SHA-pinned body plate and verify catalog geometry crosswalk.,assets/paper-doll/body-plates/body__cylinder__9ml__amber__70.0x20.0mm.png,c84db213449da4ef6afbcb67fad0da5811ae937c3c9c1234be801cb473ea31c3,
2,shot__body__cylinder__9ml__70x20x20.0__7795014140__clear,body-appearance,body,Cylinder,9,17-415,body__cylinder__9ml__70x20x20.0__7795014140,Clear,Glass,,https://www.bestbottles.com/images/store/enlarged_pics/GBCyl9MtlRollBlkDot.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCyl9MtlRollMattCu.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCyl9MtlRollMattGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCyl9MtlRollMattSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCyl9MtlRollPnkDot.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCyl9MtlRollShBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCyl9MtlRollShnGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCyl9MtlRollShnSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCyl9MtlRollSlDot.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCyl9MtlRollWht.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCyl9RollBlkDot.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCyl9SpryBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCyl9SpryGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCyl9SpryMattSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCyl9SpryRd.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCyl9SpryShSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCyl9SpryTur.gif | https://www.bestbottles.com/images/store/enlarged_pics/LBCyl9LtnBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/LBCyl9LtnGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/LBCyl9LtnMtSl.gif,20,CYL-9ML-17-415,locked-existing,P0-VERIFY,locked-local-body-authority,measured-body-geometry-only,Preserve SHA-pinned body plate and verify catalog geometry crosswalk.,assets/paper-doll/body-plates/body__cylinder__9ml__clear__70.0x20.0mm.png,97cfe967a4ab02ba4de51c07416c80df54244adf8dfab95406a36f4fe90e933f,
3,shot__body__cylinder__9ml__70x20x20.0__7795014140__cobalt-blue,body-appearance,body,Cylinder,9,17-415,body__cylinder__9ml__70x20x20.0__7795014140,Cobalt Blue,Glass,,https://www.bestbottles.com/images/store/enlarged_pics/GBCylBlu9MtlRollBlkDot.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylBlu9MtlRollMattCu.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylBlu9MtlRollMattGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylBlu9MtlRollMattSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylBlu9MtlRollPnkDot.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylBlu9MtlRollShBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylBlu9MtlRollShnGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylBlu9MtlRollShnSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylBlu9MtlRollSlDot.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylBlu9MtlRollWht.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylBlu9RollBlkDot.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylBlu9SpryBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylBlu9SpryGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylBlu9SpryMattSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylBlu9SpryRd.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylBlu9SpryShSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCylBlu9SpryTur.gif | https://www.bestbottles.com/images/store/enlarged_pics/LBCylBlu9LtnBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/LBCylBlu9LtnGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/LBCylBlu9LtnMattSl.gif,20,CYL-9ML-17-415,locked-existing,P0-VERIFY,locked-local-body-authority,measured-body-geometry-only,Preserve SHA-pinned body plate and verify catalog geometry crosswalk.,assets/paper-doll/body-plates/body__cylinder__9ml__cobalt__70.0x20.0mm.png,87804d45a242795aaecf10d677ad469b22803e2f2476421ffbce5d4d944f148c,
4,shot__supplemental__body__cyl9__frosted,supplemental-existing,body,CYL-9ML local pilot,9,17-415,body__cylinder__9ml__frosted__70.0x20.0mm@c844fb9f3a6f,Frosted,glass,,,,CYL-9ML-17-415,locked-existing,P0-TRUTH,locked-local-body-authority,catalog-geometry-crosswalk-review-required,Preserve locked pixels and resolve the canonical geometry alias before source-backed coverage is claimed.,assets/paper-doll/body-plates/body__cylinder__9ml__frosted__70.0x20.0mm.png,c844fb9f3a6ffb467daa02d17cb2378b659fc2e0be166f13073bb7b4f8422956,Locked Frosted/Swirl plate has no exact 70×20 source appearance row in the current canonical geometry snapshot.
5,shot__supplemental__body__cyl9__swirl,supplemental-existing,body,CYL-9ML local pilot,9,17-415,body__cylinder__9ml__swirl__70.0x20.0mm@c2b67ee9151d,Swirl,glass,,,,CYL-9ML-17-415,locked-existing,P0-TRUTH,locked-local-body-authority,catalog-geometry-crosswalk-review-required,Preserve locked pixels and resolve the canonical geometry alias before source-backed coverage is claimed.,assets/paper-doll/body-plates/body__cylinder__9ml__swirl__70.0x20.0mm.png,c2b67ee9151dc89d44d3a8d65a112b908bb84a2c833ba0bcf643b16586371e68,Locked Frosted/Swirl plate has no exact 70×20 source appearance row in the current canonical geometry snapshot.
6,shot__component__cap__17-415__cproll17-415blkdot__49f92c60,component-source,cap,Roll-On Cap,,17-415,component__cap__17-415__cproll17-415blkdot__49f92c60,Black · Plastic Roller Ball · Roll-On,Component (see capStyle/applicator),CpRoll17-415BlkDot,https://www.bestbottles.com/images/store/enlarged_pics/CpRoll17-415BlkDot.gif,,,authority-existing-local,P0-VERIFY,local-pilot-authority-exists,unverified,Approve material pixels and family fit through the production lifecycle.,assets/paper-doll/authority-masks/cyl9/closure__17-415__rollon-overcap__v2__mask.png | outputs/paper-doll-plates/cap-regen-sources/CpRoll17-415BlkDot.png,46c5d1690912fcd01982d7adc36bf1f40057050a4274dadae2c97f6ca21ff1be | f71cc4fb0ac78883574949fd8d932b7c5ec7fcf4417a7821e41378a8aff6ae0a,
7,shot__component__cap__17-415__cproll17-415cu__5dee651b,component-source,cap,Roll-On Cap,,17-415,component__cap__17-415__cproll17-415cu__5dee651b,Copper · Plastic Roller Ball · Roll-On,Component (see capStyle/applicator),CpRoll17-415Cu,https://www.bestbottles.com/images/store/enlarged_pics/CpRoll17-415Cu.gif,,,authority-existing-local,P0-VERIFY,local-pilot-authority-exists,unverified,Approve material pixels and family fit through the production lifecycle.,assets/paper-doll/authority-masks/cyl9/closure__17-415__rollon-overcap__v2__mask.png | outputs/paper-doll-plates/cap-regen-sources/CpRoll17-415Cu.png,46c5d1690912fcd01982d7adc36bf1f40057050a4274dadae2c97f6ca21ff1be | da3f178ef7f864030b3377e342c24078c0db185c1312b493df2b7b658aabddeb,
8,shot__component__cap__17-415__cproll17-415mattgl__84801476,component-source,cap,Roll-On Cap,,17-415,component__cap__17-415__cproll17-415mattgl__84801476,Matte Gold · Plastic Roller Ball · Roll-On,Component (see capStyle/applicator),CpRoll17-415MattGl,https://www.bestbottles.com/images/store/enlarged_pics/CpRoll17-415MattGl.gif,,,authority-existing-local,P0-VERIFY,local-pilot-authority-exists,unverified,Approve material pixels and family fit through the production lifecycle.,assets/paper-doll/authority-masks/cyl9/closure__17-415__rollon-overcap__v2__mask.png | outputs/paper-doll-plates/cap-regen-sources/CpRoll17-415MattGl.png,46c5d1690912fcd01982d7adc36bf1f40057050a4274dadae2c97f6ca21ff1be | c923d7433aa3db4fa12ddde24a14e87133dc5f76c7b48c4a7d8911dcb0cf1d41,
9,shot__component__cap__17-415__cproll17-415mattsl__e2a4e77d,component-source,cap,Roll-On Cap,,17-415,component__cap__17-415__cproll17-415mattsl__e2a4e77d,Matte Silver · Plastic Roller Ball · Roll-On,Component (see capStyle/applicator),CpRoll17-415MattSl,https://www.bestbottles.com/images/store/enlarged_pics/CpRoll17-415MattSl.gif,,,authority-existing-local,P0-VERIFY,local-pilot-authority-exists,unverified,Approve material pixels and family fit through the production lifecycle.,assets/paper-doll/authority-masks/cyl9/closure__17-415__rollon-overcap__v2__mask.png | outputs/paper-doll-plates/cap-regen-sources/CpRoll17-415MattSl.png,46c5d1690912fcd01982d7adc36bf1f40057050a4274dadae2c97f6ca21ff1be | 5de4add9da33fcd4ab11352bbebdd0dfa7011aec76c1b7f5806f264420245592,
10,shot__component__cap__17-415__cproll17-415pnkdot__ee412132,component-source,cap,Roll-On Cap,,17-415,component__cap__17-415__cproll17-415pnkdot__ee412132,Pink · Plastic Roller Ball · Roll-On,Component (see capStyle/applicator),CpRoll17-415PnkDot,https://www.bestbottles.com/images/store/enlarged_pics/CpRoll17-415PnkDot.gif,,,authority-existing-local,P0-VERIFY,local-pilot-authority-exists,unverified,Approve material pixels and family fit through the production lifecycle.,assets/paper-doll/authority-masks/cyl9/closure__17-415__rollon-overcap__v2__mask.png | outputs/paper-doll-plates/cap-regen-sources/CpRoll17-415PnkDot.png,46c5d1690912fcd01982d7adc36bf1f40057050a4274dadae2c97f6ca21ff1be | 88e8a8d47953d36a562ce8ab91feac38e261f7ef4c57f29ff0119fa66619d33c,
