cycleId,launchOrder,pipelineLaneId,mode,graceSku,websiteSku,family,productGroupSlug,productGroupDisplayName,applicator,capacityMl,color,bestReferenceCandidatePath,absoluteReferencePath,expectedCanonicalFilename
cycle-01,1,grid-card-2000x2200,cap-on,GB-CYL-CLR-100ML-AST-BLK,GBCyl100AnSpTslBlk,Cylinder,cylinder-100ml-clear-18-415-antiquespray-tassel,100 ml Clear Cylinder Vintage Bulb Spray Bottle with Tassel,Vintage Bulb Sprayer with Tassel,100,Clear,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/cylinder/cylinder-100ml-vintage-bulb-sprayer-with-tassel/cap-on/GB-CYL-CLR-100ML-AST-BLK.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/cylinder/cylinder-100ml-vintage-bulb-sprayer-with-tassel/cap-on/GB-CYL-CLR-100ML-AST-BLK.png,GB-CYL-CLR-100ML-AST-BLK__GBCyl100AnSpTslBlk__pdp-main__v001.png
cycle-01,1,grid-card-2000x2200,cap-on,GB-DVA-CLR-100ML-AST-BLK,GBDiva100AnSpTslBlk,Diva,diva-100ml-clear-18-415-antiquespray-tassel,100 ml Clear Diva Vintage Bulb Spray Bottle with Tassel,Vintage Bulb Sprayer with Tassel,100,Clear,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/diva/diva-100ml-vintage-bulb-sprayer-with-tassel/cap-on/GB-DVA-CLR-100ML-AST-BLK.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/diva/diva-100ml-vintage-bulb-sprayer-with-tassel/cap-on/GB-DVA-CLR-100ML-AST-BLK.png,GB-DVA-CLR-100ML-AST-BLK__GBDiva100AnSpTslBlk__pdp-main__v001.png
cycle-01,1,grid-card-2000x2200,cap-on,GB-DMD-CLR-60ML-AST-BLK,GBDmnd2ozAnSpTslBlk,Diamond,diamond-60ml-clear-18-415-antiquespray-tassel,60 ml Clear Diamond Vintage Bulb Spray Bottle with Tassel,Vintage Bulb Sprayer with Tassel,60,Clear,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/diamond/diamond-60ml-vintage-bulb-sprayer-with-tassel/cap-on/GB-DMD-CLR-60ML-AST-BLK.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/diamond/diamond-60ml-vintage-bulb-sprayer-with-tassel/cap-on/GB-DMD-CLR-60ML-AST-BLK.png,GB-DMD-CLR-60ML-AST-BLK__GBDmnd2ozAnSpTslBlk__pdp-main__v001.png
cycle-01,1,grid-card-2000x2200,cap-on,GB-VIA-AMB-1ML-WHT-T,GB1mlAmbVialWht,Vial,vial-1ml-amber-Plug,1 ml Amber Vial Bottle with Cap,,1,Amber,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/vial/vial-1ml-unknown-applicator/cap-on/GB-VIA-AMB-1ML-WHT-T.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/vial/vial-1ml-unknown-applicator/cap-on/GB-VIA-AMB-1ML-WHT-T.png,GB-VIA-AMB-1ML-WHT-T__GB1mlAmbVialWht__pdp-main__v001.png
cycle-01,1,grid-card-2000x2200,cap-on,GB-SQR-CLR-15ML-SPR-SBLK,GBSqr15SpryBlkSh,Square,square-15ml-clear-13-415-finemist,15 ml Clear Square Fine Mist Spray Bottle,Fine Mist Sprayer,15,Clear,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/square/square-15ml-fine-mist-sprayer/cap-on/GB-SQR-CLR-15ML-SPR-SBLK.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/square/square-15ml-fine-mist-sprayer/cap-on/GB-SQR-CLR-15ML-SPR-SBLK.png,GB-SQR-CLR-15ML-SPR-SBLK__GBSqr15SpryBlkSh__pdp-main__v001.png
cycle-01,1,grid-card-2000x2200,cap-on,GB-TRD-CLR-9ML,GBTRDPClear,Teardrop,teardrop-9ml-clear-Ground-glassapplicator,9 ml Clear Teardrop Applicator Bottle,Glass Stopper,9,Clear,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/teardrop/teardrop-9ml-glass-stopper/cap-on/GB-TRD-CLR-9ML.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/teardrop/teardrop-9ml-glass-stopper/cap-on/GB-TRD-CLR-9ML.png,GB-TRD-CLR-9ML__GBTRDPClear__pdp-main__v001.png
cycle-01,1,grid-card-2000x2200,cap-on,GB-CIR-CLR-100ML-AST-GLD,GBCrcl100AnSpTslGl,Circle,circle-100ml-clear-18-415-antiquespray-tassel,100 ml Clear Circle Vintage Bulb Spray Bottle with Tassel,Vintage Bulb Sprayer with Tassel,100,Clear,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/circle/circle-100ml-vintage-bulb-sprayer-with-tassel/cap-on/GB-CIR-CLR-100ML-AST-GLD.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/circle/circle-100ml-vintage-bulb-sprayer-with-tassel/cap-on/GB-CIR-CLR-100ML-AST-GLD.png,GB-CIR-CLR-100ML-AST-GLD__GBCrcl100AnSpTslGl__pdp-main__v001.png
cycle-01,1,grid-card-2000x2200,cap-on,GB-SLM-CLR-100ML-AST-GLD,GBSlm100AnSpTslGl,Slim,slim-100ml-clear-18-415-antiquespray-tassel,100 ml Clear Slim Vintage Bulb Spray Bottle with Tassel,Vintage Bulb Sprayer with Tassel,100,Clear,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/slim/slim-100ml-vintage-bulb-sprayer-with-tassel/cap-on/GB-SLM-CLR-100ML-AST-GLD.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/slim/slim-100ml-vintage-bulb-sprayer-with-tassel/cap-on/GB-SLM-CLR-100ML-AST-GLD.png,GB-SLM-CLR-100ML-AST-GLD__GBSlm100AnSpTslGl__pdp-main__v001.png
cycle-01,1,grid-card-2000x2200,cap-on,GB-RCT-CLR-10ML-SPR-SGLD-01,GBRect10SpryGlSh,Rectangle,footed-rectangle-10ml-clear-13-415-finemist,10 ml Clear Footed Rectangle Fine Mist Spray Bottle,Fine Mist Sprayer,10,Clear,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/rectangle/rectangle-10ml-fine-mist-sprayer/cap-on/GB-RCT-CLR-10ML-SPR-SGLD-01.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/rectangle/rectangle-10ml-fine-mist-sprayer/cap-on/GB-RCT-CLR-10ML-SPR-SGLD-01.png,GB-RCT-CLR-10ML-SPR-SGLD-01__GBRect10SpryGlSh__pdp-main__v001.png
cycle-01,1,grid-card-2000x2200,cap-on,CJ-JAR-AMB-30ML-SLV,CJAmb30SlCap,Cream Jar,cream-jar-30ml-mixed,Cream Jar 30 ml,,30,Amber,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/cream-jar/cream-jar-30ml-unknown-applicator/cap-on/CJ-JAR-AMB-30ML-SLV.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/cream-jar/cream-jar-30ml-unknown-applicator/cap-on/CJ-JAR-AMB-30ML-SLV.png,CJ-JAR-AMB-30ML-SLV__CJAmb30SlCap__pdp-main__v001.png
